order_id,customer_id,order date,Item_name,sales,quantity,discount,profit,"Current Month Sales
","
Previous Month Sales
","Sales Variance
",Growth %,month,Region
25,U1250,25-09-2015,Shawarma,1044.63,3,0%,240.26,0,0,0.00,0%,Sep-2015,West
26,U9226,16-01-2016,Shawarma,11.65,2,20%,4.22,0,0,0.00,0%,Jan-2016,West
27,U6560,16-01-2016,Fried Chicken,90.57,3,0%,11.77,0,0,0.00,0%,Jan-2016,West
28,U6714,17-09-2015,Shawarma,3083.43,7,50%,-1665.05,0,0,0.00,0%,Sep-2015,East
29,U9034,17-09-2015,Salad,9.62,2,70%,-7.05,0,0,0.00,0%,Sep-2015,East
30,U6352,17-09-2015,Koshary,124.2,3,20%,15.53,0,0,0.00,0%,Sep-2015,East
31,U3527,17-09-2015,Pasta,3.26,2,20%,1.1,0,0,0.00,0%,Sep-2015,East
32,U5680,17-09-2015,Koshary,86.3,6,20%,9.71,0,0,0.00,0%,Sep-2015,East
33,U7501,17-09-2015,Salad,6.86,6,70%,-5.72,0,0,0.00,0%,Sep-2015,East
34,U5249,17-09-2015,Sushi,15.76,2,20%,3.55,0,0,0.00,0%,Sep-2015,East
35,U2503,19-10-2017,Pizza,29.47,3,20%,9.95,0,0,0.00,0%,Oct-2017,Central
36,U2121,08-12-2016,Koshary,1097.54,7,20%,123.47,1097.54,0,1097.54,0%,Dec-2016,Central
37,U8163,08-12-2016,Pasta,190.92,5,60%,-147.96,190.92,0,190.92,0%,Dec-2016,Central
38,U7014,27-12-2015,Salad,113.33,9,20%,35.42,0,0,0.00,0%,Dec-2015,Central
39,U7194,27-12-2015,Sushi,532.4,3,32%,-46.98,0,0,0.00,0%,Dec-2015,Central
40,U9507,27-12-2015,Pizza,212.06,3,30%,-15.15,0,0,0.00,0%,Dec-2015,Central
41,U4192,27-12-2015,Koshary,371.17,4,20%,41.76,0,0,0.00,0%,Dec-2015,Central
42,U9682,10-09-2017,Pizza,147.17,4,20%,16.56,0,0,0.00,0%,Sep-2017,Central
43,U7627,17-07-2016,Pasta,77.88,2,0%,3.89,0,0,0.00,0%,Jul-2016,West
44,U4731,19-09-2017,Shawarma,95.62,2,20%,9.56,0,0,0.00,0%,Sep-2017,South
45,U2786,11-03-2016,Burger,45.98,2,0%,19.77,0,0,0.00,0%,Mar-2016,Central
46,U2840,11-03-2016,Koshary,17.46,2,0%,8.21,0,0,0.00,0%,Mar-2016,Central
47,U6356,20-10-2014,Shawarma,211.96,4,0%,8.48,0,0,0.00,0%,Oct-2014,Central
48,U6759,20-06-2016,Fried Chicken,45,3,0%,4.95,0,0,0.00,0%,Jun-2016,East
49,U4435,20-06-2016,Koshary,21.8,2,0%,6.1,0,0,0.00,0%,Jun-2016,East
50,U2969,18-04-2015,Shawarma,38.22,6,0%,17.96,0,0,0.00,0%,Apr-2015,Central
51,U3229,18-04-2015,Pizza,75.18,6,0%,35.33,0,0,0.00,0%,Apr-2015,Central
52,U1054,18-04-2015,Sushi,6.16,2,0%,2.96,0,0,0.00,0%,Apr-2015,Central
53,U7545,18-04-2015,Shawarma,89.99,1,0%,17.1,0,0,0.00,0%,Apr-2015,Central
54,U4644,11-12-2016,Shawarma,15.26,7,0%,6.26,15.26,0,15.26,0%,Dec-2016,East
55,U8650,11-12-2016,Sandwich,1029.95,5,0%,298.69,1029.95,0,1029.95,0%,Dec-2016,East
56,U4046,17-06-2016,Fried Chicken,208.56,6,0%,52.14,0,0,0.00,0%,Jun-2016,East
57,U3423,17-06-2016,Koshary,32.4,5,0%,15.55,0,0,0.00,0%,Jun-2016,East
58,U5408,17-06-2016,Pizza,319.41,5,10%,7.1,0,0,0.00,0%,Jun-2016,East
59,U9368,17-06-2016,Burger,14.56,2,0%,6.99,0,0,0.00,0%,Jun-2016,East
60,U1711,17-06-2016,Fried Chicken,30,2,0%,3.3,0,0,0.00,0%,Jun-2016,East
61,U5744,17-06-2016,Pizza,48.48,4,20%,16.36,0,0,0.00,0%,Jun-2016,East
62,U6994,17-06-2016,Fried Chicken,1.68,1,0%,0.84,0,0,0.00,0%,Jun-2016,East
63,U6712,24-11-2015,Pizza,13.98,2,0%,6.15,0,0,0.00,0%,Nov-2015,West
64,U2160,24-11-2015,Salad,25.82,6,20%,9.36,0,0,0.00,0%,Nov-2015,West
65,U7127,24-11-2015,Pizza,146.73,3,0%,68.96,0,0,0.00,0%,Nov-2015,West
66,U3898,24-11-2015,Salad,79.76,4,0%,22.33,0,0,0.00,0%,Nov-2015,West
67,U6253,30-04-2015,Pizza,213.12,5,30%,-15.22,0,0,0.00,0%,Apr-2015,Central
68,U1979,05-12-2014,Pizza,1113.02,8,20%,111.3,0,0,0.00,0%,Dec-2014,West
69,U6147,05-12-2014,Sandwich,167.97,4,20%,62.99,0,0,0.00,0%,Dec-2014,West
70,U9582,04-06-2016,Burger,75.88,2,0%,35.66,0,0,0.00,0%,Jun-2016,South
71,U8284,18-09-2016,Pasta,4.62,1,20%,1.73,0,0,0.00,0%,Sep-2016,East
72,U3080,14-09-2017,Salad,19.05,3,0%,8.76,0,0,0.00,0%,Sep-2017,Central
73,U4581,26-04-2015,Sushi,831.94,8,20%,-114.39,0,0,0.00,0%,Apr-2015,South
74,U9571,26-04-2015,Salad,97.04,2,20%,1.21,0,0,0.00,0%,Apr-2015,South
75,U3460,26-04-2015,Sushi,72.78,1,20%,-18.2,0,0,0.00,0%,Apr-2015,South
76,U9232,09-12-2017,Salad,1.25,3,80%,-1.93,0,0,0.00,0%,Dec-2017,Central
77,U8505,09-12-2017,Sushi,9.71,3,60%,-5.82,0,0,0.00,0%,Dec-2017,Central
78,U3076,09-12-2017,Koshary,27.24,3,20%,2.72,0,0,0.00,0%,Dec-2017,Central
79,U4010,26-11-2014,Koshary,19.3,5,60%,-14.48,0,0,0.00,0%,Nov-2014,Central
80,U4596,12-06-2016,Sandwich,208.16,1,0%,56.2,0,0,0.00,0%,Jun-2016,South
81,U7464,12-06-2016,Pizza,16.74,3,0%,8.04,0,0,0.00,0%,Jun-2016,South
82,U4250,12-10-2014,Burger,14.9,5,0%,4.17,0,0,0.00,0%,Oct-2014,West
83,U4459,12-10-2014,Fried Chicken,21.39,1,0%,6.2,0,0,0.00,0%,Oct-2014,West
84,U7979,03-09-2015,Sushi,200.98,7,20%,62.81,0,0,0.00,0%,Sep-2015,South
85,U8000,13-11-2017,Pizza,230.38,3,20%,-48.95,0,0,0.00,0%,Nov-2017,Central
86,U9811,28-05-2017,Fried Chicken,301.96,2,0%,33.22,0,0,0.00,0%,May-2017,South
87,U5699,26-10-2017,Burger,19.99,1,0%,6.8,0,0,0.00,0%,Oct-2017,Central
88,U7553,26-10-2017,Pasta,6.16,2,0%,2.96,0,0,0.00,0%,Oct-2017,Central
89,U1411,05-04-2016,Pizza,158.37,7,20%,13.86,0,0,0.00,0%,Apr-2016,Central
90,U3631,17-09-2016,Fried Chicken,20.1,3,0%,6.63,0,0,0.00,0%,Sep-2016,West
91,U4672,17-09-2016,Fried Chicken,73.58,2,20%,8.28,0,0,0.00,0%,Sep-2016,West
92,U6502,17-09-2016,Pizza,6.48,1,0%,3.11,0,0,0.00,0%,Sep-2016,West
93,U5810,31-01-2015,Pasta,12.96,2,0%,6.22,0,0,0.00,0%,Jan-2015,Central
94,U5500,31-01-2015,Sandwich,53.34,3,0%,16.54,0,0,0.00,0%,Jan-2015,Central
95,U4838,31-01-2015,Salad,32.96,2,0%,16.15,0,0,0.00,0%,Jan-2015,Central
96,U4915,06-11-2017,Salad,5.68,1,70%,-3.79,0,0,0.00,0%,Nov-2017,West
97,U3700,09-11-2017,Sushi,96.53,7,0%,40.54,0,0,0.00,0%,Nov-2017,East
98,U3944,17-06-2017,Koshary,51.31,3,20%,17.96,0,0,0.00,0%,Jun-2017,West
99,U8168,06-09-2016,Burger,77.88,6,0%,22.59,0,0,0.00,0%,Sep-2016,Central
100,U4498,29-08-2016,Pasta,64.62,7,20%,22.62,0,0,0.00,0%,Aug-2016,Central
101,U4989,29-08-2016,Sushi,95.98,3,20%,-10.8,0,0,0.00,0%,Aug-2016,Central
102,U3086,29-08-2016,Fried Chicken,1.79,3,80%,-3.04,0,0,0.00,0%,Aug-2016,Central
103,U6335,01-12-2016,Pizza,23.92,4,0%,11.72,23.92,0,23.92,0%,Dec-2016,Central
104,U3014,13-11-2015,Koshary,238.9,6,20%,-26.88,0,0,0.00,0%,Nov-2015,West
105,U9609,13-11-2015,Koshary,102.36,3,20%,-3.84,0,0,0.00,0%,Nov-2015,West
106,U7185,13-11-2015,Pizza,36.88,3,70%,-25.82,0,0,0.00,0%,Nov-2015,West
107,U5797,23-11-2017,Koshary,74.11,8,20%,17.6,0,0,0.00,0%,Nov-2017,South
108,U4618,23-11-2017,Salad,27.99,1,20%,2.1,0,0,0.00,0%,Nov-2017,South
109,U3088,23-11-2017,Burger,3.3,1,20%,1.07,0,0,0.00,0%,Nov-2017,South
110,U6690,15-10-2015,Pizza,339.96,5,20%,67.99,0,0,0.00,0%,Oct-2015,Central
111,U6357,25-12-2017,Pasta,41.96,2,0%,10.91,0,0,0.00,0%,Dec-2017,East
112,U9268,03-11-2016,Burger,75.96,2,0%,22.79,0,75.96,-75.96,-10000%,Nov-2016,Central
113,U3636,03-11-2016,Salad,27.24,6,0%,13.35,0,27.24,-27.24,-10000%,Nov-2016,Central
114,U3902,25-08-2014,Fried Chicken,40.1,14,20%,14.53,0,0,0.00,0%,Aug-2014,East
115,U9863,25-08-2014,Pizza,4.72,2,20%,1.65,0,0,0.00,0%,Aug-2014,East
116,U6785,25-08-2014,Sushi,23.98,3,20%,7.49,0,0,0.00,0%,Aug-2014,East
117,U5514,25-08-2014,Burger,130.46,6,20%,44.03,0,0,0.00,0%,Aug-2014,East
118,U5360,02-03-2015,Fried Chicken,787.53,3,0%,165.38,0,0,0.00,0%,Mar-2015,West
119,U3068,05-04-2015,Pasta,157.79,1,70%,-115.72,0,0,0.00,0%,Apr-2015,South
120,U7568,12-06-2016,Fried Chicken,47.04,3,0%,18.35,0,0,0.00,0%,Jun-2016,East
121,U1902,12-06-2016,Sushi,30.84,4,0%,13.88,0,0,0.00,0%,Jun-2016,East
122,U7447,12-06-2016,Fried Chicken,226.56,6,0%,63.44,0,0,0.00,0%,Jun-2016,East
123,U4226,12-06-2016,Shawarma,115.02,9,0%,51.76,0,0,0.00,0%,Jun-2016,East
124,U3378,12-06-2016,Pizza,68.04,7,0%,19.73,0,0,0.00,0%,Jun-2016,East
125,U9243,26-12-2014,Pasta,600.56,3,30%,-8.58,0,0,0.00,0%,Dec-2014,Central
126,U3823,20-09-2014,Sushi,617.7,6,50%,-407.68,0,0,0.00,0%,Sep-2014,Central
127,U7983,05-11-2017,Shawarma,2.39,2,70%,-1.83,0,0,0.00,0%,Nov-2017,West
128,U1439,05-11-2017,Pasta,243.99,7,20%,30.5,0,0,0.00,0%,Nov-2017,West
129,U2672,06-11-2016,Fried Chicken,81.42,2,20%,-9.16,0,81.42,-81.42,-10000%,Nov-2016,West
130,U2519,06-11-2016,Fried Chicken,238.56,3,0%,26.24,0,238.56,-238.56,-10000%,Nov-2016,West
131,U5934,02-02-2017,Koshary,59.97,5,40%,-11.99,0,0,0.00,0%,Feb-2017,East
132,U5235,02-02-2017,Koshary,78.3,2,20%,29.36,0,0,0.00,0%,Feb-2017,East
133,U8300,02-02-2017,Salad,21.46,9,20%,6.97,0,0,0.00,0%,Feb-2017,East
134,U4258,13-10-2016,Sandwich,20.04,3,0%,9.62,0,0,0.00,0%,Oct-2016,West
135,U7738,13-10-2016,Burger,35.44,1,0%,16.66,0,0,0.00,0%,Oct-2016,West
136,U1312,13-10-2016,Pizza,11.52,4,0%,3.46,0,0,0.00,0%,Oct-2016,West
137,U6889,13-10-2016,Koshary,4.02,2,0%,1.97,0,0,0.00,0%,Oct-2016,West
138,U4164,13-10-2016,Salad,76.18,3,20%,26.66,0,0,0.00,0%,Oct-2016,West
139,U8961,13-10-2016,Salad,65.88,6,0%,18.45,0,0,0.00,0%,Oct-2016,West
140,U9809,13-10-2016,Shawarma,43.12,14,0%,20.7,0,0,0.00,0%,Oct-2016,West
141,U6855,05-09-2016,Sandwich,82.8,2,20%,10.35,0,0,0.00,0%,Sep-2016,East
142,U4079,18-09-2017,Sandwich,8.82,3,0%,2.38,0,0,0.00,0%,Sep-2017,West
143,U7326,18-09-2017,Fried Chicken,10.86,3,0%,5.1,0,0,0.00,0%,Sep-2017,West
144,U7214,18-09-2017,Shawarma,143.7,3,0%,68.98,0,0,0.00,0%,Sep-2017,West
145,U7805,22-12-2017,Pasta,839.43,3,0%,218.25,0,0,0.00,0%,Dec-2017,Central
146,U2850,07-09-2015,Pasta,671.93,7,0%,20.16,0,0,0.00,0%,Sep-2015,West
147,U5778,22-10-2014,Pizza,93.89,4,20%,12.91,0,0,0.00,0%,Oct-2014,East
148,U8326,05-12-2016,Fried Chicken,384.45,11,0%,103.8,384.45,0,384.45,0%,Dec-2016,Central
149,U4505,05-12-2016,Shawarma,149.97,3,0%,6,149.97,0,149.97,0%,Dec-2016,Central
150,U7680,05-12-2016,Pasta,1951.84,8,0%,585.55,1951.84,0,1951.84,0%,Dec-2016,Central
151,U5902,05-12-2016,Salad,171.55,5,0%,80.63,171.55,0,171.55,0%,Dec-2016,Central
152,U1576,13-03-2016,Sandwich,157.92,5,20%,17.77,0,0,0.00,0%,Mar-2016,West
153,U7944,13-03-2016,Koshary,203.18,2,20%,15.24,0,0,0.00,0%,Mar-2016,West
154,U4203,31-05-2015,Sushi,58.38,7,0%,26.27,0,0,0.00,0%,May-2015,West
155,U2057,31-05-2015,Koshary,105.52,4,0%,48.54,0,0,0.00,0%,May-2015,West
156,U6662,31-05-2015,Sushi,80.88,6,0%,21.03,0,0,0.00,0%,May-2015,West
157,U1972,28-05-2015,Koshary,6.63,3,0%,1.79,0,0,0.00,0%,May-2015,West
158,U5628,01-03-2014,Shawarma,457.57,2,20%,51.48,0,0,0.00,0%,Mar-2014,West
159,U8272,20-11-2016,Sandwich,14.62,2,0%,6.87,0,14.62,-14.62,-10000%,Nov-2016,Central
160,U1370,20-11-2016,Pizza,944.93,7,0%,236.23,0,944.93,-944.93,-10000%,Nov-2016,Central
161,U1917,11-05-2016,Shawarma,5.98,1,0%,2.69,0,0,0.00,0%,May-2016,West
162,U7359,28-12-2015,Pasta,54.38,2,20%,1.36,0,0,0.00,0%,Dec-2015,East
163,U3872,16-11-2016,Sandwich,28.4,5,0%,13.35,0,28.4,-28.40,-10000%,Nov-2016,West
164,U2273,07-11-2016,Pasta,27.68,2,20%,9.69,0,27.68,-27.68,-10000%,Nov-2016,West
165,U6929,08-09-2014,Koshary,9.94,3,20%,2.73,0,0,0.00,0%,Sep-2014,Central
166,U7932,08-09-2014,Sushi,8159.95,8,40%,-1359.99,0,0,0.00,0%,Sep-2014,Central
167,U9447,08-09-2014,Sandwich,275.93,3,20%,-58.63,0,0,0.00,0%,Sep-2014,Central
168,U5965,08-09-2014,Pasta,1740.06,9,30%,-24.86,0,0,0.00,0%,Sep-2014,Central
169,U4210,08-09-2014,Fried Chicken,32.06,6,20%,6.81,0,0,0.00,0%,Sep-2014,Central
170,U1000,08-09-2014,Fried Chicken,177.98,5,80%,-453.85,0,0,0.00,0%,Sep-2014,Central
171,U7236,08-09-2014,Fried Chicken,143.98,3,20%,9,0,0,0.00,0%,Sep-2014,Central
172,U3828,05-08-2014,Fried Chicken,20.94,3,0%,9.84,0,0,0.00,0%,Aug-2014,West
173,U7852,05-08-2014,Koshary,110.96,2,0%,53.26,0,0,0.00,0%,Aug-2014,West
174,U6039,05-08-2014,Shawarma,340.14,7,20%,21.26,0,0,0.00,0%,Aug-2014,West
175,U4061,14-09-2014,Fried Chicken,52.45,2,80%,-131.12,0,0,0.00,0%,Sep-2014,Central
176,U3542,14-09-2014,Koshary,20.16,4,20%,6.55,0,0,0.00,0%,Sep-2014,Central
177,U1251,21-04-2017,Pasta,97.26,4,80%,-243.16,0,0,0.00,0%,Apr-2017,Central
178,U9851,21-11-2015,Pasta,396.8,7,30%,-11.34,0,0,0.00,0%,Nov-2015,East
179,U8988,21-11-2015,Burger,15.88,5,20%,-3.77,0,0,0.00,0%,Nov-2015,East
180,U6432,15-12-2015,Koshary,3.28,1,0%,1.41,0,0,0.00,0%,Dec-2015,East
181,U3504,05-12-2014,Pizza,24.82,2,20%,1.86,0,0,0.00,0%,Dec-2014,Central
182,U2009,05-12-2014,Pizza,408.74,7,20%,76.64,0,0,0.00,0%,Dec-2014,Central
183,U8766,19-11-2014,Shawarma,503.96,4,0%,131.03,0,0,0.00,0%,Nov-2014,South
184,U8541,19-11-2014,Fried Chicken,149.95,5,0%,41.99,0,0,0.00,0%,Nov-2014,South
185,U3574,19-11-2014,Shawarma,29,2,0%,7.25,0,0,0.00,0%,Nov-2014,South
186,U7264,28-11-2016,Pizza,7.16,2,0%,3.44,0,7.16,-7.16,-10000%,Nov-2016,East
187,U8861,26-08-2014,Sandwich,176.8,8,0%,22.98,0,0,0.00,0%,Aug-2014,West
188,U8773,16-07-2016,Burger,37.22,3,20%,3.72,0,0,0.00,0%,Jul-2016,Central
189,U3153,16-07-2016,Fried Chicken,20.02,3,20%,6.26,0,0,0.00,0%,Jul-2016,Central
190,U1447,12-10-2015,Burger,899.14,4,20%,112.39,0,0,0.00,0%,Oct-2015,East
191,U5634,12-10-2015,Sushi,71.76,6,0%,20.09,0,0,0.00,0%,Oct-2015,East
192,U6884,12-10-2015,Burger,51.84,8,0%,24.88,0,0,0.00,0%,Oct-2015,East
193,U7759,12-10-2015,Shawarma,626.35,3,20%,46.98,0,0,0.00,0%,Oct-2015,East
194,U8922,12-10-2015,Sushi,19.9,5,0%,6.57,0,0,0.00,0%,Oct-2015,East
195,U1059,31-10-2015,Fried Chicken,14.28,7,0%,6.71,0,0,0.00,0%,Oct-2015,West
196,U3518,21-03-2014,Pizza,7.41,2,20%,1.2,0,0,0.00,0%,Mar-2014,East
197,U6381,21-03-2014,Shawarma,6.05,3,20%,1.59,0,0,0.00,0%,Mar-2014,East
198,U1218,06-11-2017,Sushi,46.26,3,0%,12.03,0,0,0.00,0%,Nov-2017,East
199,U8864,06-07-2017,Shawarma,2.95,2,70%,-2.26,0,0,0.00,0%,Jul-2017,East
200,U9592,06-07-2017,Sushi,16.06,3,20%,5.82,0,0,0.00,0%,Jul-2017,East
201,U4454,24-06-2017,Koshary,21.74,3,20%,6.8,0,0,0.00,0%,Jun-2017,East
202,U1286,03-08-2014,Shawarma,218.75,2,50%,-161.88,0,0,0.00,0%,Aug-2014,West
203,U5572,03-08-2014,Burger,2.6,1,20%,0.29,0,0,0.00,0%,Aug-2014,West
204,U6537,17-12-2017,Pasta,66.28,2,80%,-178.97,0,0,0.00,0%,Dec-2017,Central
205,U7923,03-06-2017,Fried Chicken,35.17,7,20%,9.67,0,0,0.00,0%,Jun-2017,South
206,U6702,09-12-2017,Sandwich,444.77,4,20%,44.48,0,0,0.00,0%,Dec-2017,West
207,U5358,01-12-2017,Burger,83.92,4,0%,5.87,0,0,0.00,0%,Dec-2017,Central
208,U9106,01-12-2017,Shawarma,131.98,2,0%,35.63,0,0,0.00,0%,Dec-2017,Central
209,U4762,01-12-2017,Pizza,15.92,4,0%,7.48,0,0,0.00,0%,Dec-2017,Central
210,U9501,01-12-2017,Koshary,52.29,9,0%,16.21,0,0,0.00,0%,Dec-2017,Central
211,U3822,01-12-2017,Pasta,91.99,1,0%,3.68,0,0,0.00,0%,Dec-2017,Central
212,U9240,09-02-2015,Burger,20.8,2,20%,6.5,0,0,0.00,0%,Feb-2015,Central
213,U4298,02-01-2015,Pizza,23.68,2,20%,8.88,0,0,0.00,0%,Jan-2015,East
214,U4037,02-01-2015,Koshary,452.45,5,50%,-244.32,0,0,0.00,0%,Jan-2015,East
215,U6437,02-01-2015,Salad,62.98,3,40%,-14.7,0,0,0.00,0%,Jan-2015,East
216,U8140,02-01-2015,Koshary,1188,9,70%,-950.4,0,0,0.00,0%,Jan-2015,East
217,U8435,02-01-2015,Shawarma,89.58,2,20%,4.48,0,0,0.00,0%,Jan-2015,East
218,U6939,28-10-2016,Fried Chicken,93.06,6,0%,26.06,0,0,0.00,0%,Oct-2016,West
219,U6639,28-10-2016,Salad,302.38,3,20%,22.68,0,0,0.00,0%,Oct-2016,West
220,U9260,24-12-2015,Pasta,5.58,2,20%,1.81,0,0,0.00,0%,Dec-2015,East
221,U3948,24-12-2015,Koshary,22.7,6,20%,8.23,0,0,0.00,0%,Dec-2015,East
222,U7734,24-12-2015,Fried Chicken,19.78,4,70%,-13.84,0,0,0.00,0%,Dec-2015,East
223,U9678,24-12-2015,Pizza,72.7,4,20%,19.08,0,0,0.00,0%,Dec-2015,East
224,U8775,24-12-2015,Burger,479.99,4,70%,-383.99,0,0,0.00,0%,Dec-2015,East
225,U1503,24-12-2015,Fried Chicken,27.17,2,20%,2.72,0,0,0.00,0%,Dec-2015,East
226,U4777,09-08-2015,Pizza,2.2,1,0%,0.97,0,0,0.00,0%,Aug-2015,Central
227,U7722,09-08-2015,Koshary,622.45,5,0%,136.94,0,0,0.00,0%,Aug-2015,Central
228,U8321,09-08-2015,Pizza,21.98,1,0%,0.22,0,0,0.00,0%,Aug-2015,Central
229,U5535,28-02-2015,Fried Chicken,161.57,2,20%,-28.27,0,0,0.00,0%,Feb-2015,South
230,U5542,28-02-2015,Shawarma,389.7,8,20%,43.84,0,0,0.00,0%,Feb-2015,South
231,U6098,13-09-2014,Pizza,18.65,7,70%,-12.43,0,0,0.00,0%,Sep-2014,South
232,U7845,07-04-2017,Pizza,233.86,2,45%,-102.05,0,0,0.00,0%,Apr-2017,South
233,U8072,07-04-2017,Pizza,620.61,3,45%,-248.25,0,0,0.00,0%,Apr-2017,South
234,U4853,07-04-2017,Burger,5.33,2,70%,-3.55,0,0,0.00,0%,Apr-2017,South
235,U7159,07-04-2017,Fried Chicken,258.07,3,20%,0,0,0,0.00,0%,Apr-2017,South
236,U8516,07-04-2017,Koshary,617.98,3,20%,-7.72,0,0,0.00,0%,Apr-2017,South
237,U4105,12-11-2017,Shawarma,10.56,2,0%,4.75,0,0,0.00,0%,Nov-2017,West
238,U9149,04-06-2016,Salad,25.92,5,20%,9.4,0,0,0.00,0%,Jun-2016,Central
239,U6300,04-06-2016,Burger,419.68,5,60%,-356.73,0,0,0.00,0%,Jun-2016,Central
240,U4637,04-06-2016,Fried Chicken,11.69,3,60%,-4.68,0,0,0.00,0%,Jun-2016,Central
241,U3928,04-06-2016,Fried Chicken,31.98,2,20%,11.19,0,0,0.00,0%,Jun-2016,Central
242,U4967,04-06-2016,Salad,177.23,5,50%,-120.51,0,0,0.00,0%,Jun-2016,Central
243,U1571,04-06-2016,Koshary,4.04,3,60%,-2.83,0,0,0.00,0%,Jun-2016,Central
244,U7780,04-06-2016,Fried Chicken,7.41,2,20%,1.2,0,0,0.00,0%,Jun-2016,Central
245,U2407,01-06-2014,Pasta,2001.86,7,0%,580.54,0,0,0.00,0%,Jun-2014,Central
246,U4059,01-06-2014,Pasta,166.72,2,0%,41.68,0,0,0.00,0%,Jun-2014,Central
247,U4807,01-06-2014,Sushi,47.88,6,0%,23.94,0,0,0.00,0%,Jun-2014,Central
248,U2835,01-06-2014,Pizza,1503.25,5,0%,496.07,0,0,0.00,0%,Jun-2014,Central
249,U3162,01-06-2014,Shawarma,25.92,4,0%,12.44,0,0,0.00,0%,Jun-2014,Central
250,U3294,10-12-2016,Salad,321.57,2,20%,28.14,321.57,0,321.57,0%,Dec-2016,West
251,U3607,11-09-2016,Koshary,7.61,1,0%,3.58,0,0,0.00,0%,Sep-2016,West
252,U1121,11-09-2016,Pasta,3347.37,13,0%,636,0,0,0.00,0%,Sep-2016,West
253,U4979,10-12-2016,Sandwich,80.58,6,0%,22.56,80.58,0,80.58,0%,Dec-2016,East
254,U3639,10-12-2016,Sandwich,361.92,4,0%,162.86,361.92,0,361.92,0%,Dec-2016,East
255,U3883,28-11-2015,Pasta,12.13,9,60%,-8.49,0,0,0.00,0%,Nov-2015,Central
256,U7389,28-11-2015,Koshary,82.37,2,20%,-19.56,0,0,0.00,0%,Nov-2015,Central
257,U2070,28-11-2015,Burger,53.92,5,20%,4.04,0,0,0.00,0%,Nov-2015,Central
258,U6129,28-11-2015,Burger,647.9,6,20%,56.69,0,0,0.00,0%,Nov-2015,Central
259,U7013,01-12-2017,Shawarma,20.37,3,0%,6.93,0,0,0.00,0%,Dec-2017,East
260,U3610,01-12-2017,Pizza,221.55,3,0%,6.65,0,0,0.00,0%,Dec-2017,East
261,U1851,01-12-2017,Fried Chicken,17.52,5,20%,6.13,0,0,0.00,0%,Dec-2017,East
262,U6612,08-06-2017,Sushi,1.62,2,80%,-4.47,0,0,0.00,0%,Jun-2017,Central
263,U2151,19-09-2014,Shawarma,3059.98,3,40%,-510,0,0,0.00,0%,Sep-2014,Central
264,U8241,19-09-2014,Pasta,2519.96,7,40%,-252,0,0,0.00,0%,Sep-2014,Central
265,U5863,06-06-2016,Salad,328.22,4,20%,28.72,0,0,0.00,0%,Jun-2016,Central
